"","x_name","essential","degree","eigenvector_centrality","betweenness_centrality","closeness_centrality","predicted_lethality","acc"
"2050","YML094W","0",57,0.00236740430830968,0.0016719192203297,0.321428571428571,"1",FALSE
"2051","YDL082W","0",265,0.064944766282271,0.000317209652467673,0.343985616517805,"0",TRUE
"2052","YHR064C","0",48,0.00310121892633558,0.0014614343788083,0.326957001102536,"0",TRUE
"2053","YKL181W","0",22,0.0011121625968296,0.000271786312139622,0.305642875547539,"0",TRUE
"2054","YEL026W","1",315,0.0589670112881402,0.00308533066808001,0.345287302788613,"1",TRUE
"2055","YDR399W","0",29,0.000663604162206972,4.61701752229065e-05,0.295353817040984,"0",TRUE
"2056","YGL073W","1",53,0.000575212649386882,0.00066405947054996,0.331878462313245,"0",FALSE
"2058","YBR121C","1",36,0.0010817396160186,4.39622021556799e-05,0.301571159810851,"0",FALSE
"2060","YDL134C","0",70,0.000494985731611088,0.00112684518331932,0.322617493472585,"0",TRUE
"2062","YFR004W","1",105,0.00381720574340722,0.00230894253698476,0.350097396847884,"1",TRUE
"2064","YHL012W","0",24,1.68649053187245e-05,0.000148342717098462,0.289769396130545,"0",TRUE
"2065","YNL292W","0",95,0.0138304921866901,0.00109310573883506,0.3187681393099,"0",TRUE
"2066","YIL148W","0",262,0.0517152281488367,0.00328104414764768,0.352594970572499,"0",TRUE
